Order ID,Order Date,Order Priority,Order Quantity,Discount,Ship Mode,Unit Price,Shipping Cost,Customer Name,Customer State,Zip Code,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
3,10/13/2017,Low,6,0.04,Regular Air,38.94,35,Muhammed MacIntyre,New Jersey,7514,East,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8
6,2/20/2019,Not Specified,2,0.01,Regular Air,2.08,2.56,Ruben Dartt,New York,10457,East,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55
32,7/15/2018,High,15,0.04,Regular Air,8.46,8.99,Liz Pelletier,Ohio,44197,Central,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79
32,7/15/2018,High,24,0.09,Delivery Truck,70.89,89.3,Liz Pelletier,Ohio,44197,Central,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.72
32,7/15/2018,High,23,0.04,Regular Air,7.99,5.03,Liz Pelletier,Ohio,44197,Central,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6
32,7/15/2018,High,26,0.07,Regular Air,107.53,5.81,Liz Pelletier,Ohio,44197,Central,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65
35,10/22/2018,Not Specified,30,0.03,Regular Air,9.11,2.25,Julie Creighton,Michigan,49822,Central,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52
35,10/22/2018,Not Specified,14,0.01,Regular Air,155.99,8.99,Julie Creighton,Michigan,49822,Central,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58
36,11/2/2018,Critical,46,0.1,Regular Air,65.99,4.2,Sample Company A,Connecticut,6074,East,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.55
65,3/17/2018,Critical,32,0.02,Regular Air,115.79,1.99,Tamara Dahlen,Delaware,19936,East,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49
