,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
0,LP002158,Fiona,Rivera,Male,23,No,1,Graduate,No,1321,2968.4295110114276,160.11838732355935,360.0,1.0,Urban,N,33161,Miami,25.76,-80.15
5,LP001641,Ruben,Fisher,Male,31,No,1,Graduate,No,5021,3464.1399683624095,160.3167741020468,360.0,1.0,Rural,Y,33156,North Miami Beach,25.75,-80.36
7,LP001043,Adrian,Shaw,Female,36,Yes,2,Graduate,No,1873,2393.524704634079,93.17756979424867,360.0,1.0,Semiurban,N,33145,Miami,25.9,-80.18
9,LP002369,Ulysses,Parker,Male,28,Yes,0,Graduate,No,741,957.1250898959075,93.34844569104,360.0,1.0,Semiurban,Y,33176,Miami,25.76,-80.24
11,LP001750,Hector,Evans,Male,23,Yes,0,Graduate,No,3361,578.1648948043473,261.9949722431033,300.0,1.0,Urban,Y,33039,Miami,25.67,-80.27
13,LP002347,Nelson,Daniels,Male,32,No,0,Graduate,No,2391,766.2730242349583,120.27776960692748,360.0,1.0,Rural,N,33147,Miami,25.71,-80.5
14,LP001708,Fernando,Quinn,Male,40,Yes,2,Graduate,No,2060,1761.3428632863515,111.26374582228873,360.0,1.0,Rural,Y,33033,Miami,25.52,-80.24
19,LP002098,Amador,Wood,Female,26,Yes,0,Graduate,No,2854,2822.767981684403,140.3546057220006,360.0,1.0,Semiurban,Y,33185,Miami,25.56,-80.18
22,LP002255,Ruben,Davidson,Female,29,No,0,Not Graduate,No,1350,4218.8887822642355,141.37074560785118,360.0,1.0,Semiurban,Y,33139,Opa Locka,25.76,-80.24
24,LP001439,Ivy,Hughes,Male,26,No,0,Graduate,No,1563,998.2826348758265,219.22065744454375,360.0,1.0,Urban,Y,33182,Miami,25.76,-80.32
25,LP002741,Russell,Hall,Male,39,Yes,1,Graduate,No,870,1383.1301528094941,96.17139384727136,360.0,1.0,Urban,Y,33150,Hialeah,25.81,-80.33
26,LP001498,Manuel,Roberts,Male,25,No,0,Graduate,No,4693,1899.680962837623,113.23327882364323,360.0,1.0,Rural,Y,33170,Miami,25.81,-80.36
28,LP001925,Alfonso,Rivera,Male,25,Yes,0,Not Graduate,No,1565,1086.5597498566663,101.44575318011928,360.0,0.0,Semiurban,N,33129,Miami,25.78,-80.26
29,LP001977,Elliott,Mitchell,Male,39,Yes,0,Graduate,No,1007,2542.5361389891127,94.32999327662873,360.0,1.0,Rural,N,33130,Hialeah,25.65,-80.47
38,LP001384,Kelvin,Ortiz,Male,39,No,1,Graduate,No,1893,1769.1875303610418,112.34757130540328,180.0,0.0,Urban,Y,33010,Miami,25.56,-80.34
39,LP001265,Perry,Ward,Male,25,No,0,Graduate,No,1843,1483.8578001356852,132.35859262401505,360.0,1.0,Urban,Y,33125,Miami,25.7,-80.21
42,LP001993,Janet,Alexander,Female,24,No,1,Graduate,No,2679,2193.2621540738214,132.5882204934195,360.0,0.0,Rural,Y,33173,Miami,25.96,-80.38
44,LP001379,Gordon,Evans,Male,21,Yes,3+,Graduate,Yes,2203,3017.8483929318027,138.75834694949523,360.0,0.0,Semiurban,Y,33149,Miami,25.93,-80.47
47,LP001964,Liam,Garcia,Male,41,Yes,0,Graduate,Yes,1621,1717.8023455543048,145.24228025826758,360.0,0.0,Semiurban,N,33109,Homestead,25.49,-80.29
48,LP001870,Nelson,Alexander,Male,36,Yes,2,Graduate,No,867,3975.5457013329988,171.8146211075328,360.0,0.0,Rural,Y,33162,Homestead,25.75,-80.15
51,LP002370,Sean,Gonzales,Male,27,No,0,Graduate,No,2909,1638.483743874042,141.27078246434567,360.0,1.0,Semiurban,Y,33149,Miami,25.56,-80.28
54,LP001751,Ellen,Hamilton,Male,20,No,2,Graduate,No,2805,2152.913216184765,97.85513769303164,180.0,1.0,Urban,Y,33018,Miami Beach,25.81,-80.17
56,LP002453,Camilo,Ramirez,Male,30,Yes,1,Graduate,No,3919,1952.7190936225886,139.68398850212273,60.0,0.0,Rural,Y,33180,Key Biscayne,25.68,-80.41
60,LP001421,Esmeralda,Rivera,Male,38,Yes,0,Graduate,No,2184,2265.1601207413755,183.65256605864454,360.0,1.0,Semiurban,Y,33160,Miami,25.82,-80.24
61,LP001711,Jack,Alexander,Male,34,No,0,Graduate,No,3593,2383.0003359368434,118.04765155755818,360.0,1.0,Rural,Y,33194,Hialeah,25.93,-80.18
62,LP001238,Gaspar,Martinez,Female,45,No,0,Graduate,No,1010,3489.8686397415704,230.44761614314487,360.0,1.0,Urban,Y,33129,Miami,25.65,-80.13
64,LP002683,Bernard,Barnes,Male,19,No,1,Graduate,No,3880,975.9717643203267,146.26866706911406,360.0,0.0,Rural,Y,33184,Homestead,25.89,-80.4
68,LP001275,Boyd,Richards,Male,48,No,0,Graduate,No,1542,1708.0250810532473,168.7216878227402,360.0,1.0,Semiurban,Y,33193,Miami,25.93,-80.19
71,LP001289,Carlos,Gonzalez,Male,27,Yes,1,Graduate,No,762,1538.8881564705493,111.67215971693622,360.0,1.0,Urban,Y,33150,Miami,25.49,-80.51
72,LP001014,Emma,Alexander,Male,30,Yes,2,Graduate,No,849,3391.3991054555877,124.44754660408188,360.0,1.0,Urban,Y,33184,Miami Beach,25.83,-80.4
74,LP001265,Ava,Stone,Male,46,Yes,3+,Graduate,No,2604,3019.4341974990793,131.20609821043482,360.0,1.0,Rural,Y,33175,Homestead,25.76,-80.46
77,LP001199,Perry,Cooper,Male,45,Yes,1,Graduate,Yes,1908,658.6004772167498,107.517941445442,360.0,1.0,Semiurban,N,33144,Miami,25.73,-80.31
78,LP002377,Garrett,Martinez,Male,38,No,3+,Graduate,No,2397,1738.6985175088178,96.42600560068493,360.0,1.0,Semiurban,Y,33162,Miami,25.5,-80.24
79,LP002053,Florentino,Rivera,Male,30,Yes,2,Graduate,No,1815,1247.359966475992,177.6723814450462,360.0,0.0,Urban,Y,33186,Miami,25.92,-80.32
80,LP002407,Preston,Snyder,Male,51,No,0,Graduate,No,1422,2298.972204963328,192.66265640468822,360.0,1.0,Semiurban,Y,33101,Miami,25.46,-80.3
82,LP002051,Mateo,Rivera,Male,33,No,0,Graduate,No,1867,2297.6694787510132,111.63850797991054,360.0,1.0,Urban,Y,33143,Miami,25.85,-80.41
85,LP002555,Alex,Rivera,Male,29,No,0,Graduate,No,1454,1133.1497642233758,174.86203013915892,360.0,1.0,Rural,N,33190,Miami,25.93,-80.51
86,LP001647,Nelson,Bell,Male,38,No,1,Not Graduate,No,2621,1616.2608688181247,111.74054664461406,300.0,1.0,Semiurban,Y,33182,Hialeah,25.86,-80.28
88,LP002418,Iris,Martinez,Male,28,Yes,0,Graduate,No,3120,1734.4581926307508,100.69444454239795,360.0,1.0,Semiurban,Y,33138,North Miami Beach,25.89,-80.28
89,LP002940,Jacob,Alexander,Female,49,No,3+,Graduate,No,3147,1610.5603485670188,169.7291269808789,360.0,0.0,Urban,Y,33194,Key Biscayne,25.52,-80.27
95,LP001814,Norberto,Jordan,Male,23,No,0,Not Graduate,No,1951,1786.2516687196826,203.24274814662667,360.0,1.0,Semiurban,Y,33015,Miami,25.56,-80.2
96,LP001870,Grayson,Rivera,Male,23,No,1,Graduate,No,2529,1463.5199807453798,130.48269985048523,120.0,1.0,Rural,Y,33149,Hialeah,25.76,-80.24
97,LP002792,Jessica,Ortiz,Male,31,Yes,0,Not Graduate,Yes,1844,2666.500872681735,99.61161406151295,360.0,0.0,Urban,Y,33149,Miami,25.76,-80.3
98,LP002337,Brooke,Snyder,Male,30,No,0,Graduate,No,1724,3488.6491603670484,104.73475752682396,360.0,0.0,Semiurban,Y,33157,North Miami Beach,25.66,-80.17
99,LP001404,Horace,Ortiz,Male,36,No,0,Not Graduate,No,3660,2686.1476275685545,98.28860631254642,360.0,1.0,Semiurban,Y,33015,Homestead,25.6,-80.14
100,LP001708,Warren,Richards,Female,24,Yes,3+,Graduate,Yes,2442,2772.8374743946383,141.9110202044376,360.0,1.0,Rural,Y,33039,Miami,25.76,-80.24
103,LP002031,Bryce,Parker,Male,23,No,0,Not Graduate,Yes,3876,1667.995377442225,117.76286112102821,360.0,1.0,Rural,N,33138,Miami,25.49,-80.3
108,LP002002,Seth,Parker,Male,28,No,1,Graduate,Yes,1514,1551.7039895427968,192.65447084460072,360.0,0.0,Semiurban,N,33167,Homestead,25.92,-80.24
113,LP002244,Antonio,Kennedy,Male,34,Yes,0,Graduate,Yes,753,1380.1806091036105,104.13513881055528,480.0,0.0,Rural,Y,33185,Miami,25.7,-80.29
114,LP002031,Garrett,Bell,Male,32,No,0,Not Graduate,No,1773,2272.2442989663277,135.65665566243982,480.0,0.0,Urban,Y,33177,Miami,25.78,-80.28
121,LP002190,Jack,Bennett,Male,34,No,3+,Graduate,No,2534,1637.36769437215,146.4363532223441,240.0,1.0,Semiurban,Y,33122,Miami,25.75,-80.28
122,LP001528,Caitlin,Alexander,Male,24,Yes,1,Not Graduate,Yes,2027,1459.960639787283,110.28076919104421,360.0,0.0,Semiurban,N,33185,Miami,25.7,-80.41
127,LP001095,Warren,Adams,Male,24,Yes,0,Not Graduate,No,1878,1484.2286960361587,134.43582703655358,360.0,1.0,Urban,Y,33158,Miami,25.79,-80.34
128,LP002961,Bernard,Sanchez,Male,27,No,0,Graduate,No,1569,1695.2857968549285,114.95561085741686,360.0,1.0,Urban,Y,33156,Miami,25.76,-80.15
129,LP002948,Lucas,Rivera,Female,20,No,0,Graduate,No,1704,1827.8178192329372,179.60624100806723,360.0,0.0,Rural,N,33143,Hialeah,25.92,-80.27
131,LP002517,Trent,Hale,Male,42,Yes,2,Not Graduate,No,1609,2298.0148927592445,98.67113170948657,360.0,1.0,Urban,N,33169,Homestead,25.9,-80.32
136,LP001743,Ricardo,Graham,Male,41,No,2,Graduate,No,1419,1115.7374188965941,142.57898209924372,360.0,1.0,Semiurban,N,33190,Miami,25.53,-80.26
141,LP002370,Liam,Daniels,Male,24,Yes,2,Graduate,No,2629,2271.6395846788228,120.16409447747448,180.0,1.0,Rural,Y,33039,Key Biscayne,25.76,-80.24
146,LP002035,Domingo,Wilson,Male,23,No,0,Graduate,No,946,2337.8959362349724,152.98607470212949,360.0,1.0,Semiurban,Y,33101,Miami,25.78,-80.3
147,LP001131,Dorian,Sanchez,Male,31,No,0,Not Graduate,No,1600,2239.6855803290473,109.13886475531538,480.0,1.0,Rural,Y,33137,Miami,25.65,-80.23
152,LP002772,Leopoldo,Dawson,Male,40,No,0,Graduate,No,794,2878.801519584399,103.40618751685216,360.0,1.0,Urban,Y,33175,Miami,25.75,-80.14
154,LP001011,Lucas,Davidson,Male,39,Yes,0,Graduate,No,6164,1636.477397966413,270.20190824727496,360.0,1.0,Rural,Y,33015,Miami,25.53,-80.39
161,LP001029,Theodore,Morris,Male,25,Yes,0,Not Graduate,No,2346,2231.0423611601545,110.38015376746637,360.0,0.0,Rural,Y,33161,Homestead,25.82,-80.38
162,LP002555,Emmett,Clarke,Male,46,Yes,0,Graduate,Yes,2079,2266.713653278249,255.3185851349305,360.0,1.0,Urban,N,33014,Hialeah,25.73,-80.17
