,LoanID,FirstName,LastName,Gender,Age,Married,Dependents,EducationLevel,SelfEmployed,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditHistory,PropertyArea,ZIPCode,City,Latitude,Longitude,TotalIncome,IncomeRatio,DTI,IncomeToLoanRatio,LoanStatus
2,LP001910,Mason,Cooper,Male,30,No,2,Graduate,Yes,3684,1024.8830183213402,74130,180.0,1.0,Rural,33165,Miami,25.73,-80.21,4708.88301832134,3.5910527167397275,15.739244416822233,0.04969580877095952,N
4,LP001586,Nicholas,Gross,Female,34,Yes,0,Graduate,No,2454,779.2651153391682,53382,360.0,1.0,Rural,33180,Miami,25.76,-80.16,3233.265115339168,3.145084858667925,16.505140455810157,0.045969690725511866,N
10,LP001518,Warren,Howard,Male,25,No,0,Graduate,No,3366,815.8803244274675,28578,360.0,1.0,Urban,33167,Miami,25.52,-80.24,4181.880324427468,4.12055462635748,6.832134267171896,0.11777878862101543,N
11,LP002941,Grayson,Ruiz,Male,40,Yes,2,Graduate,Yes,3297,1063.1676147626295,150522,360.0,0.0,Rural,33032,Miami,25.94,-80.36,4360.1676147626295,3.0981961434105667,34.51415155209361,0.02190362934568139,Y
13,LP002250,Jordan,Fischer,Female,43,Yes,3+,Graduate,No,2694,1424.0716581048746,22009,360.0,0.0,Semiurban,33168,Miami,25.82,-80.41,4118.071658104875,1.8904312528273872,5.343194250261241,0.12239890958655157,N
15,LP002684,Alonso,King,Male,36,No,0,Graduate,No,1412,1667.414513613117,31039,360.0,1.0,Rural,33150,Miami,25.68,-80.51,3079.414513613117,0.846312465205169,10.076241318443005,0.04548969072164948,Y
17,LP001726,Curtis,Ruiz,Female,35,Yes,2,Not Graduate,Yes,2425,1252.1618548790839,56638,360.0,1.0,Urban,33140,Miami,25.78,-80.24,3677.161854879084,1.9351051825895111,15.3984523342467,0.04281502145164992,N
18,LP001993,Carolina,Riley,Male,21,No,0,Graduate,No,1497,1266.734337699962,33027,360.0,1.0,Rural,33142,Miami,25.89,-80.32,2763.734337699962,1.1808467716635274,11.945813219607864,0.04532517863630859,N
20,LP001334,Blaine,Bryant,Male,38,Yes,0,Graduate,No,2391,801.5991138167911,106542,360.0,1.0,Semiurban,33161,Hialeah,25.56,-80.16,3192.599113816791,2.979071318219512,33.361106451669706,0.022441643280177958,Y
21,LP001963,Bartolome,Parker,Male,24,No,0,Not Graduate,Yes,425,2431.9543333118004,4897,360.0,0.0,Urban,33149,Miami,25.75,-80.58,2856.9543333118004,0.1746847419949223,1.7134633478643977,0.08677011024908125,N
23,LP002180,Aileen,Ward,Male,39,Yes,1,Graduate,No,2301,839.1200253489129,85007,360.0,1.0,Rural,33138,Miami,25.91,-80.24,3140.120025348913,2.7388943610103382,27.06263985902847,0.027068040654997176,Y
28,LP001197,Enrique,Parker,Female,22,Yes,0,Graduate,No,4486,797.816602447094,93948,360.0,1.0,Rural,33146,Homestead,25.9,-80.36,5283.816602447094,5.6158071655716615,17.776965042930364,0.04774931079628309,N
30,LP001421,Mason,Ford,Male,40,Yes,0,Not Graduate,No,3556,750.8124840690223,76891,360.0,1.0,Urban,33175,Homestead,25.7,-80.2,4306.8124840690225,4.729902835284032,17.849198470071567,0.04624668366019872,Y
40,LP002116,Dario,Lee,Male,39,No,0,Not Graduate,No,3309,534.3681406011463,56625,480.0,1.0,Semiurban,33172,Miami,25.77,-80.21,3843.3681406011465,6.180793642827605,14.729338588043108,0.058436054109419704,Y
45,LP001603,Gustavo,Coleman,Male,37,Yes,1,Graduate,No,2100,1677.5937604587798,37879,360.0,1.0,Rural,33109,Miami,25.6,-80.41,3777.59376045878,1.2510471857264887,10.024628843774119,0.05543822597676874,Y
46,LP002296,Raymond,Myers,Male,26,Yes,0,Graduate,No,2913,1756.1284086459254,152089,360.0,1.0,Rural,33167,Miami,25.78,-80.32,4669.128408645925,1.657818509829233,32.566342227000405,0.01915313301334736,Y
49,LP002545,Pedro,Lawson,Male,33,No,0,Not Graduate,No,3439,2481.5062825278246,48663,360.0,1.0,Urban,33155,Miami Beach,25.93,-80.32,5920.506282527825,1.385293573758138,8.218010363948531,0.07066825579483807,N
55,LP002300,Jennifer,Lopez,Male,34,Yes,0,Graduate,No,3997,2274.682805232462,22905,180.0,1.0,Urban,33155,Miami,25.76,-80.3,6271.682805232462,1.7563959224939982,3.6515476250279093,0.1744957653016677,Y
57,LP001482,Jesse,Parker,Male,34,No,3+,Graduate,No,2934,2393.542276337628,32834,360.0,1.0,Urban,33030,Miami,25.53,-80.58,5327.542276337628,1.2252863643265695,6.161910386974955,0.08935587026039288,Y
59,LP002741,Bryce,Walker,Female,42,Yes,0,Graduate,No,2027,1831.1552918591753,28792,360.0,1.0,Urban,33013,Miami,25.73,-80.34,3858.155291859175,1.106347267072054,7.4607000295469454,0.07039905532594729,Y
